s,rho,x,phi,alpha,kn
0,23,-116.7828755,0,1.570796327,0.1533066539
4.71022675,23.43389662,-116.6585942,0.20194525,1.378062355,0.1425371469
6.641140204,23.86713788,-116.5320472,0.2813271222,1.300411294,0.1327529823
8.170855579,24.29971284,-116.403241,0.3420167665,1.242252624,0.123848283
9.477761793,24.73161062,-116.272182,0.3920458344,1.194369078,0.1157301794
10.64483813,25.16282044,-116.138877,0.4351876845,1.153152055,0.1083170167
11.71377052,25.59333161,-116.0033326,0.4733690955,1.116731457,0.1015368356
12.70943082,26.02313348,-115.8655557,0.5077567153,1.083984906,0.09532607987
13.64784421,26.45221552,-115.725553,0.5391140642,1.05417372,0.0896284947
14.54011806,26.88056726,-115.5833316,0.5679781703,1.026779757,0.08439418511
15.39427794,27.30817831,-115.4388985,0.5947429066,1.001422163,0.07957880843
16.21635121,27.7350384,-115.2922608,0.6197083719,0.977810784,0.07514288022
17.01099341,28.16113729,-115.1434258,0.6431096675,0.9557182177,0.07105117634
17.78188604,28.58646486,-114.9924006,0.6651352905,0.9349621061,0.06727221636
18.53199285,29.01101107,-114.8391927,0.685939076,0.9153934172,0.06377781644
19.26374251,29.43476595,-114.6838095,0.7056487447,0.896888403,0.06054270123
19.97915557,29.85771963,-114.5262585,0.7243718896,0.8793429109,0.05754416651
20.67992672,30.27986232,-114.3665472,0.7421999165,0.8626682547,0.05476178505
21.36749595,30.70118433,-114.2046833,0.7592114314,0.8467881505,0.05217714987
22.04310291,31.12167604,-114.0406745,0.7754748389,0.8316363978,0.04977364949
22.70781455,31.54132792,-113.8745287,0.7910497402,0.817155095,0.04753627097
23.36255948,31.96013053,-113.7062535,0.8059885867,0.8032932453,0.04545142682
24.00815576,32.37807453,-113.535857,0.8203380231,0.7900056521,0.04350680279
24.64532055,32.79515065,-113.3633471,0.8341394215,0.7772520341,0.0416912236
25.27469419,33.21134972,-113.1887318,0.847430025,0.7649963081,0.03999453438
25.89684234,33.62666265,-113.0120192,0.8602431247,0.7532060024,0.03840749589
26.51227734,34.04108045,-112.8332175,0.87260906,0.7418517717,0.03692169155
27.12145401,34.45459422,-112.6523348,0.8845550976,0.730906994,0.03552944502
27.72478486,34.86719514,-112.4693795,0.8961061489,0.720347432,0.03422374688
28.32264315,35.27887447,-112.2843598,0.9072849488,0.7101509476,0.03299818948
28.9153726,35.6896236,-112.0972841,0.9181125224,0.7002972584,0.03184690873
29.50327791,36.09943396,-111.9081608,0.9286078089,0.6907677304,0.03076453223
30.08664443,36.50829711,-111.7169983,0.9387885491,0.6815451987,0.02974613285
30.66573038,36.91620468,-111.5238052,0.9486709787,0.672613814,0.02878718717
31.24077373,37.3231484,-111.3285899,0.958270153,0.6639589076,0.02788353828
31.8119946,37.72912007,-111.1313612,0.9676000733,0.6555668749,0.02703136231
32.37959502,38.1341116,-110.9321276,0.9766737011,0.6474250726,0.02622713839
32.94376235,38.53811499,-110.7308978,0.9855031237,0.6395217289,0.02546762166
33.50467025,38.94112233,-110.5276805,0.9940996145,0.631845864,0.02474981886
34.0624798,39.34312578,-110.3224845,1.002473697,0.624387219,0.02407096643
34.61734044,39.74411761,-110.1153185,1.0106352,0.6171361941,0.02342851061
35.16939205,40.14409019,-109.9061914,1.018593364,0.6100837921,0.02282008952
35.71876541,40.54303594,-109.6951121,1.026356869,0.603221569,0.02224351697
36.26558096,40.94094741,-109.4820894,1.033933792,0.5965415887,0.02169676771
36.80995586,41.33781721,-109.2671323,1.041331929,0.5900363835,0.02117796411
37.35199465,41.73363806,-109.0502498,1.048558392,0.5836989172,0.02068536404
37.89179579,42.12840275,-108.8314507,1.055619904,0.5775225525,0.02021734989
38.42945744,42.52210418,-108.6107441,1.062523058,0.5715010216,0.01977241851
38.96506613,42.91473532,-108.3881391,1.069273835,0.565628399,0.01934917214
39.49870624,43.30628924,-108.1636448,1.075878016,0.5598990771,0.01894631007
40.03045634,43.69675909,-107.9372701,1.082341034,0.5543077441,0.01856262106
40.56038983,44.0861381,-107.7090242,1.088668008,0.5488493635,0.01819697643
41.0885793,44.47441962,-107.4789163,1.094863932,0.5435191553,0.01784832373
41.61508845,44.86159704,-107.2469554,1.100933338,0.5383125794,0.01751568091
42.13998365,45.24766388,-107.0131508,1.106880792,0.5332253196,0.01719813108
42.66332201,45.63261371,-106.7775116,1.112710392,0.5282532695,0.01689481762
43.18515958,46.01644022,-106.540047,1.118426114,0.5233925189,0.01660493972
43.70555369,46.39913714,-106.3007663,1.124031933,0.5186393421,0.0163277483
44.22455241,46.78069834,-106.0596786,1.129531354,0.5139901861,0.01606254225
44.74220497,47.16111773,-105.8167932,1.13492788,0.5094416607,0.01580866499
