s,rho,x,phi,alpha,kn
0,66,-188.7961864,0,1.570792946,0.04334164054
11.26808696,66.84685041,-188.4980069,0.1691009203,1.411451697,0.04124756136
15.96477115,67.69235375,-188.1960288,0.2376322205,1.346718056,0.03928958336
19.61428925,68.53649298,-187.8902582,0.2895648333,1.297886303,0.0374573269
22.72062063,69.37925108,-187.5807014,0.3326890839,1.257403434,0.03574132077
25.48330684,70.22061108,-187.2673644,0.3701208111,1.222322623,0.03413291189
28.00435337,71.060556,-186.9502538,0.4034693578,1.191121777,0.03262418697
30.34415117,71.89906896,-186.6293757,0.4336973517,1.162890258,0.03120789965
32.54175211,72.73613301,-186.3047368,0.4614338539,1.137030521,0.02987740891
34.62424215,73.57173132,-185.9763435,0.4871196254,1.11312457,0.02862662035
36.61126726,74.40584702,-185.6442025,0.5110776574,1.090865934,0.02744993708
38.5176276,75.23846334,-185.3083205,0.5335537324,1.070021649,0.02634221258
40.35477436,76.06956346,-184.9687042,0.5547399581,1.050409496,0.02529871097
42.1317592,76.89913067,-184.6253604,0.5747897533,1.031883598,0.02431506923
43.85590527,77.72714822,-184.2782961,0.5938284565,1.01432491,0.02338726466
45.53320695,78.55359944,-183.9275184,0.6119597118,0.997634696,0.02251158471
47.16866399,79.37846768,-183.5730341,0.6292707858,0.9817299325,0.02168459998
48.76649345,80.2017363,-183.2148507,0.6458359782,0.966539972,0.02090314017
50.33028572,81.02338874,-182.852975,0.6617191425,0.9520040715,0.0201642715
51.86311629,81.8434084,-182.4874147,0.6769755109,0.9380695294,0.01946527746
53.36766509,82.66177881,-182.1181768,0.6916536039,0.924690249,0.01880363997
54.84623964,83.47848342,-181.745269,0.7057956717,0.9118256238,0.01817702373
56.30090362,84.29350582,-181.3686987,0.7194397112,0.8994396499,0.01758326058
57.7334658,85.10682954,-180.9884736,0.7326193645,0.887500222,0.01702033665
59.14553009,85.91843824,-180.6046012,0.7453647254,0.8759785585,0.01648637942
60.53853216,86.72831552,-180.2170893,0.7577029427,0.8648487362,0.01597964695
61.91375826,87.53644509,-179.8259458,0.7696585418,0.8540873034,0.01549851738
63.27237377,88.34281066,-179.4311785,0.7812538927,0.8436729597,0.01504147965
64.61542374,89.14739596,-179.0327953,0.7925092477,0.8335862885,0.01460712502
65.94386433,89.95018482,-178.6308043,0.8034432423,0.8238095291,0.0141941391
67.25855409,90.751161,-178.2252137,0.8140727885,0.8143263862,0.013801295
68.56029489,91.55030842,-177.8160314,0.8244137127,0.8051218637,0.0134274464
69.84980297,92.34761092,-177.4032659,0.8344803379,0.7961821259,0.01307152194
71.12775109,93.1430525,-176.9869254,0.8442861356,0.7874943734,0.01273251937
72.39474953,93.93661706,-176.5670184,0.8538434561,0.77904674,0.01240950082
73.65136418,94.72828866,-176.1435532,0.8631638112,0.7708281978,0.01210158787
74.89812299,95.51805131,-175.7165384,0.8722579886,0.7628284793,0.0118079575
76.13550769,96.30588912,-175.2859827,0.8811359332,0.7550380044,0.01152783802
77.36396395,97.09178621,-174.8518946,0.8898069131,0.7474478193,0.01126050554
78.58392219,97.87572673,-174.414283,0.898279843,0.7400495407,0.01100528058
79.79575981,98.6576949,-173.9731566,0.9065627195,0.7328353062,0.010761525
80.99985735,99.43767494,-173.5285245,0.914663481,0.7257977316,0.01052863924
82.19654121,100.2156512,-173.0803954,0.922589144,0.7189298704,0.01030605954
83.38614545,100.9916079,-172.6287784,0.930346749,0.7122251804,0.01009325571
84.56896217,101.7655294,-172.1736827,0.9379426107,0.7056774898,0.009889728694
85.74526815,102.5374002,-171.7151174,0.9453827308,0.6992809716,0.009695008682
86.91533982,103.3072047,-171.2530918,0.9526730255,0.6930301152,0.009508653011
88.07941431,104.0749274,-170.7876151,0.9598187446,0.6869197055,0.009330244547
89.23774053,104.8405528,-170.3186968,0.9668252444,0.6809447998,0.009159389899
90.39053439,105.6040655,-169.8463463,0.9736973179,0.6751007103,0.00899571799
91.5379974,106.3654501,-169.3705731,0.9804394771,0.6693829853,0.00883887857
92.68034069,107.1246913,-168.8913867,0.9870563206,0.6637873938,0.008688540919
93.81774708,107.8817737,-168.408797,0.9935519645,0.6583099114,0.008544392634
94.95039491,108.6366822,-167.9228135,0.999930402,0.6529467056,0.00840613844
96.07845272,109.3894013,-167.4334461,1.006195431,0.647694125,0.008273499201
97.20208276,110.1399162,-166.9407046,1.012350703,0.6425486866,0.008146210838
98.32143675,110.8882115,-166.444599,1.01839967,0.6375070668,0.00802402351
99.43665975,111.6342723,-165.9451393,1.024345635,0.6325660901,0.007906700651
100.5478909,112.3780834,-165.4423355,1.030191774,0.6277227224,0.007794018265
101.6552609,113.1196299,-164.9361977,1.035941097,0.6229740604,0.007685764096
102.7588956,113.8588969,-164.4267363,1.041596504,0.618317326,0.007581736997
103.8589159,114.5958694,-163.9139613,1.047160779,0.6137498582,0.007481746227
104.9554351,115.3305327,-163.3978832,1.052636564,0.6092691065,0.007385610874
106.0485632,116.0628718,-162.8785124,1.058026419,0.6048726257,0.007293159275
107.138405,116.7928721,-162.3558592,1.063332788,0.6005580688,0.007204228472
108.2250596,117.5205188,-161.8299344,1.068558009,0.5963231836,0.007118663745
109.3086241,118.2457972,-161.3007484,1.073704354,0.5921658056,0.007036318095
110.3891898,118.9686928,-160.7683119,1.078773985,0.5880838554,0.006957051868
111.4668445,119.6891911,-160.2326357,1.083768983,0.5840753329,0.006880732281
112.5416732,120.4072773,-159.6937305,1.088691363,0.5801383145,0.006807233099
113.6137564,121.1229372,-159.1516072,1.093543049,0.5762709479,0.006736434217
114.6831719,121.8361562,-158.6062768,1.098325902,0.5724714502,0.006668221375
115.7499952,122.54692,-158.0577502,1.103041725,0.5687381031,0.006602485794
116.8142973,123.2552143,-157.5060384,1.107692234,0.5650692509,0.006539123912
117.8761476,123.9610248,-156.9511527,1.112279101,0.5614632967,0.006478037084
118.9356129,124.6643373,-156.3931041,1.116803936,0.5579187003,0.006419131322
119.9927565,125.3651376,-155.8319039,1.121268284,0.5544339753,0.006362317059
121.0476408,126.0634115,-155.2675635,1.125673653,0.5510076864,0.006307508894
122.1003248,126.7591451,-154.7000942,1.130021489,0.5476384479,0.006254625398
123.1508657,127.4523243,-154.1295073,1.134313185,0.5443249204,0.006203588879
124.199319,128.1429351,-153.5558146,1.138550102,0.54106581,0.00615432522
125.2457376,128.8309636,-152.9790274,1.142733544,0.5378598649,0.00610676366
126.2901729,129.5163959,-152.3991574,1.146864776,0.5347058751,0.006060836656
127.3326751,130.1992183,-151.8162164,1.15094503,0.5316026693,0.006016479688
128.3732915,130.8794169,-151.230216,1.154975486,0.5285491143,0.005973631133
129.4120686,131.5569781,-150.641168,1.158957293,0.5255441127,0.0059322321
130.4490513,132.2318883,-150.0490844,1.162891568,0.5225866017,0.0058922263
131.4842826,132.9041337,-149.453977,1.166779384,0.519675552,0.005853559921
132.5178047,133.5737009,-148.8558579,1.170621792,0.5168099657,0.005816181495
133.5496581,134.2405763,-148.2547391,1.174419806,0.513988876,0.005780041798
134.5798818,134.9047466,-147.6506327,1.178174404,0.511211345,0.005745093721
135.6085139,135.5661983,-147.043551,1.181886547,0.5084764634,0.005711292188
136.6355912,136.2249181,-146.433506,1.185557157,0.5057833487,0.005678594038
137.661149,136.8808928,-145.8205102,1.189187133,0.503131145,0.005646957951
138.6852226,137.5341091,-145.2045758,1.192777354,0.500519021,0.005616344343
139.7078449,138.1845538,-144.5857153,1.196328663,0.4979461699,0.005586715301
140.7290484,138.8322139,-143.9639412,1.199841884,0.4954118079,0.005558034487
141.7488648,139.4770764,-143.339266,1.203317823,0.492915174,0.005530267079
142.7673245,140.1191281,-142.7117022,1.206757253,0.4904555284,0.005503379688
143.7844574,140.7583561,-142.0812626,1.210160937,0.4880321523,0.005477340298
144.8002923,141.3947477,-141.4479598,1.21352961,0.4856443471,0.005452118206
145.8148569,142.0282899,-140.8118065,1.216863986,0.4832914331,0.005427683949
146.8281785,142.65897,-140.1728157,1.220164765,0.48097275,0.005404009263
147.8402838,143.2867753,-139.5310002,1.223432626,0.4786876547,0.005381067013
148.851198,143.9116931,-138.8863729,1.226668227,0.4764355223,0.005358831159
149.8609465,144.5337109,-138.2389468,1.229872217,0.474215744,0.005337276687
150.8695534,145.1528161,-137.5887349,1.23304522,0.4720277277,0.005316379584
151.8770422,145.7689962,-136.9357504,1.236187844,0.4698708966,0.005296116773
152.883436,146.3822388,-136.2800065,1.23930069,0.4677446896,0.00527646609
153.8887571,146.9925316,-135.6215162,1.242384333,0.4656485596,0.005257406229
154.8930273,147.5998622,-134.960293,1.24543934,0.4635819742,0.005238916714
155.8962678,148.2042184,-134.2963501,1.248466266,0.4615444145,0.005220977858
156.8984992,148.8055881,-133.6297008,1.251465643,0.4595353747,0.00520357073
157.8997415,149.4039591,-132.9603588,1.254438,0.4575543623,0.005186677124
158.9000145,149.9993194,-132.2883373,1.257383847,0.4556008966,0.005170279524
159.899337,150.5916569,-131.61365,1.260303682,0.4536745097,0.005154361079
160.897728,151.1809598,-130.9363105,1.263197996,0.4517747445,0.005138905571
161.8952052,151.767216,-130.2563324,1.266067264,0.4499011559,0.005123897391
162.8917865,152.350414,-129.5737294,1.268911947,0.4480533094,0.005109321511
163.8874891,152.9305418,-128.8885153,1.271732504,0.4462307813,0.00509516346
164.8823298,153.5075878,-128.2007039,1.274529375,0.444433158,0.005081409304
165.876325,154.0815404,-127.510309,1.277302994,0.4426600359,0.005068045618
166.8694909,154.652388,-126.8173446,1.280053785,0.4409110214,0.005055059469
167.8618428,155.2201191,-126.1218245,1.28278216,0.4391857297,0.005042438397
168.8533962,155.7847222,-125.423763,1.285488523,0.4374837857,0.005030170391
169.844166,156.3461861,-124.7231739,1.288173272,0.4358048227,0.005018243873
170.8341665,156.9044992,-124.0200715,1.29083679,0.4341484831,0.005006647682
171.8234123,157.4596505,-123.3144698,1.293479458,0.432514417,0.004995371054
172.8119171,158.0116287,-122.6063831,1.296101644,0.4309022832,0.00498440361
173.7996944,158.5604228,-121.8958257,1.298703708,0.4293117478,0.004973735335
174.7867575,159.1060215,-121.182812,1.301286007,0.4277424853,0.004963356571
175.7731195,159.648414,-120.4673561,1.303848886,0.4261941767,0.004953257994
176.7587929,160.1875894,-119.7494727,1.306392683,0.4246665111,0.004943430609
177.7437902,160.7235366,-119.0291761,1.308917732,0.4231591841,0.004933865732
178.7281235,161.2562451,-118.3064809,1.311424356,0.4216718982,0.004924554978
179.7118046,161.7857039,-117.5814016,1.313912872,0.4202043628,0.004915490254
180.6948453,162.3119026,-116.8539528,1.316383595,0.4187562934,0.00490666374
181.6772567,162.8348303,-116.1241493,1.318836826,0.4173274123,0.004898067887
182.6590501,163.3544767,-115.3920056,1.321272868,0.4159174472,0.004889695399
183.6402363,163.8708311,-114.6575366,1.323692013,0.4145261325,0.004881539228
184.6208259,164.3838834,-113.9207571,1.326094544,0.4131532079,0.004873592562
185.6008294,164.893623,-113.1816818,1.328480748,0.4117984191,0.004865848819
186.580257,165.4000397,-112.4403258,1.330850899,0.410461517,0.004858301634
187.5591187,165.9031233,-111.6967039,1.333205264,0.409142258,0.004850944855
188.5374243,166.4028638,-110.9508312,1.335544114,0.4078404038,0.004843772534
189.5151834,166.8992509,-110.2027225,1.337867705,0.4065557211,0.004836778915
190.4924053,167.3922747,-109.4523932,1.340176291,0.4052879817,0.004829958434
