s,rho,x,phi,alpha,kn
0,66.00000004,-314.6627483,0,1.570760139,0.00454941618
22.51693903,66.31720832,-313.6179251,0.3399474433,1.472949347,0.004531183413
31.64361627,66.64071414,-312.5750345,0.4762480626,1.432016639,0.00451030606
38.73190466,66.97037153,-311.534072,0.5810848958,1.40035753,0.004486975375
44.70565969,67.30603633,-310.4950309,0.6685628737,1.373476648,0.004461374862
49.96228831,67.64756597,-309.4579027,0.7447664139,1.349641857,0.004433680274
54.71225318,67.99482031,-308.4226772,0.8129273751,1.327969591,0.004404059474
59.07741879,68.34766152,-307.3893425,0.8749240824,1.30793788,0.00437267252
63.13868701,68.70595407,-306.3578853,0.9320072721,1.289208549,0.004339671785
66.95216309,69.06956473,-305.3282906,0.9850473083,1.271548021,0.004305202087
70.55830518,69.43836265,-304.3005425,1.034674165,1.25478717,0.004269400846
73.98827603,69.81221924,-303.2746237,1.081374524,1.238799003,0.004232398294
77.26576349,70.1910083,-302.2505158,1.125519937,1.22348536,0.004194317652
80.41008921,70.57460642,-301.2281995,1.167414327,1.208768533,0.004155275305
83.43660378,70.96289271,-300.2076545,1.207300268,1.194585783,0.004115381079
86.35807636,71.35574877,-299.1888599,1.245380255,1.180885596,0.004074738474
89.18527029,71.75305874,-298.1717938,1.28182559,1.167625059,0.004033444914
91.92716453,72.15470921,-297.156434,1.31677986,1.154767967,0.003991591992
94.59148226,72.56058904,-296.1427573,1.35036705,1.142283438,0.003949265734
97.18495973,72.97058987,-295.1307405,1.382695696,1.130144851,0.003906546799
99.71336891,73.38460583,-294.1203596,1.413859287,1.118329059,0.003863510742
102.1818218,73.80253349,-293.1115903,1.443940935,1.106815771,0.003820228262
104.594795,74.22427185,-292.1044082,1.473013789,1.095587072,0.003776765432
106.9562637,74.64972226,-291.0987885,1.501143099,1.084627034,0.003733183932
109.2697973,75.07878826,-290.094706,1.528387698,1.073921415,0.003689541276
111.5386446,75.51137579,-289.0921357,1.554801322,1.0634574,0.003645891008
113.7656247,75.94739317,-288.0910523,1.580430971,1.053223398,0.003602282911
115.9533346,76.38675098,-287.0914303,1.605320084,1.043208874,0.003558763219
118.1041304,76.82936194,-286.0932445,1.62950826,1.033404214,0.0035153748
120.220191,77.27514095,-285.0964695,1.65303225,1.023800602,0.00347215735
122.3034691,77.72400494,-284.1010798,1.675925215,1.014389927,0.003429147564
124.3557618,78.1758728,-283.1070501,1.698217819,1.005164698,0.003386379307
126.3787273,78.63066561,-282.1143553,1.71993848,0.9961179692,0.003343883768
128.3738933,79.08830641,-281.1229701,1.741113519,0.9872432813,0.003301689619
130.3426572,79.54872018,-280.1328698,1.761767158,0.9785346109,0.003259823166
